emotion,"emotion intensity",scrambling,gender,"top face","left face","right face",block,"correct answer"
fear,100,0,f,01F_FE_C100,02F_FE_C100,04F_HA_C100,1,left
fear,100,0,f,02F_FE_C100,03F_FE_C100,05F_HA_C100,1,left
fear,100,0,f,03F_FE_C100,04F_FE_C100,06F_HA_C100,1,left
fear,100,0,f,04F_FE_C100,08F_HA_C100,05F_FE_C100,1,right
fear,100,0,f,05F_FE_C100,07F_HA_C100,06F_FE_C100,1,right
fear,100,0,m,21M_FE_C100,22M_FE_C100,24M_HA_C100,1,left
fear,100,0,m,22M_FE_C100,23M_FE_C100,25M_HA_C100,1,left
fear,100,0,m,23M_FE_C100,26M_HA_C100,24M_FE_C100,1,right
fear,100,0,m,24M_FE_C100,28M_HA_C100,25M_FE_C100,1,right
fear,100,0,m,25M_FE_C100,27M_HA_C100,26M_FE_C100,1,right
fear,100,26,f,01F_FE_C100_cell26rand,,,2,left
fear,100,26,f,02F_FE_C100_cell26rand,,,2,left
fear,100,26,f,03F_FE_C100_cell26rand,,,2,left
fear,100,26,f,04F_FE_C100_cell26rand,,,2,right
fear,100,26,f,05F_FE_C100_cell26rand,,,2,right
fear,100,26,m,21M_FE_C100_cell26rand,,,2,left
fear,100,26,m,22M_FE_C100_cell26rand,,,2,left
fear,100,26,m,23M_FE_C100_cell26rand,,,2,right
fear,100,26,m,24M_FE_C100_cell26rand,,,2,right
fear,100,26,m,25M_FE_C100_cell26rand,,,2,right
fear,100,22,f,01F_FE_C100_cell22rand,,,2,left
fear,100,22,f,02F_FE_C100_cell22rand,,,2,left
fear,100,22,f,03F_FE_C100_cell22rand,,,2,left
fear,100,22,f,04F_FE_C100_cell22rand,,,2,right
fear,100,22,f,05F_FE_C100_cell22rand,,,2,right
fear,100,22,m,21M_FE_C100_cell22rand,,,2,left
fear,100,22,m,22M_FE_C100_cell22rand,,,2,left
fear,100,22,m,23M_FE_C100_cell22rand,,,2,right
fear,100,22,m,24M_FE_C100_cell22rand,,,2,right
fear,100,22,m,25M_FE_C100_cell22rand,,,2,right
fear,100,18,f,01F_FE_C100_cell18rand,,,2,left
fear,100,18,f,02F_FE_C100_cell18rand,,,2,left
fear,100,18,f,03F_FE_C100_cell18rand,,,2,left
fear,100,18,f,04F_FE_C100_cell18rand,,,2,right
fear,100,18,f,05F_FE_C100_cell18rand,,,2,right
fear,100,18,m,21M_FE_C100_cell18rand,,,2,left
fear,100,18,m,22M_FE_C100_cell18rand,,,2,left
fear,100,18,m,23M_FE_C100_cell18rand,,,2,right
fear,100,18,m,24M_FE_C100_cell18rand,,,2,right
fear,100,18,m,25M_FE_C100_cell18rand,,,2,right
happiness,100,0,f,01F_HA_C100,07F_HA_C100,03F_FE_C100,3,left
happiness,100,0,f,02F_HA_C100,03F_HA_C100,04F_FE_C100,3,left
happiness,100,0,f,03F_HA_C100,01F_FE_C100,08F_HA_C100,3,right
happiness,100,0,f,04F_HA_C100,07F_FE_C100,02F_HA_C100,3,right
happiness,100,0,f,05F_HA_C100,08F_FE_C100,01F_HA_C100,3,right
happiness,100,0,m,21M_HA_C100,27M_HA_C100,23M_FE_C100,3,left
