,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
0,happiness,21M_HA_C100.jpg,0,100,27M_HA_C100.jpg,m,left,0,22M_FE_C100.jpg
1,happiness,27M_HA_C100.jpg,0,100,25M_FE_C100.jpg,m,right,0,24M_HA_C100.jpg
2,happiness,25M_HA_C100.jpg,0,100,27M_FE_C100.jpg,m,right,0,23M_HA_C100.jpg
3,happiness,22M_HA_C100.jpg,0,100,26M_HA_C100.jpg,m,left,0,28M_FE_C100.jpg
4,happiness,28M_HA_C100.jpg,0,100,25M_HA_C100.jpg,m,left,1,23M_FE_C100.jpg
5,happiness,26M_HA_C100.jpg,0,100,24M_FE_C100.jpg,m,right,1,28M_HA_C100.jpg
6,happiness,23M_HA_C100.jpg,0,100,26M_FE_C100.jpg,m,right,1,21M_HA_C100.jpg
7,happiness,24M_HA_C100.jpg,0,100,22M_HA_C100.jpg,m,left,1,21M_FE_C100.jpg
8,fear,26M_FE_C100.jpg,0,100,27M_FE_C100.jpg,m,left,2,28M_HA_C100.jpg
9,fear,22M_FE_C100.jpg,0,100,24M_FE_C100.jpg,m,left,2,21M_HA_C100.jpg
10,fear,23M_FE_C100.jpg,0,100,24M_HA_C100.jpg,m,right,2,25M_FE_C100.jpg
11,fear,21M_FE_C100.jpg,0,100,23M_HA_C100.jpg,m,right,2,22M_FE_C100.jpg
12,fear,28M_FE_C100.jpg,0,100,27M_HA_C100.jpg,m,right,3,21M_FE_C100.jpg
13,fear,24M_FE_C100.jpg,0,100,23M_FE_C100.jpg,m,left,3,26M_HA_C100.jpg
14,fear,25M_FE_C100.jpg,0,100,26M_FE_C100.jpg,m,left,3,22M_HA_C100.jpg
15,fear,27M_FE_C100.jpg,0,100,25M_HA_C100.jpg,m,right,3,28M_FE_C100.jpg
16,happiness,03F_HA_C100.jpg,0,100,05F_HA_C100.jpg,f,left,4,01F_FE_C100.jpg
17,happiness,02F_HA_C100.jpg,0,100,04F_FE_C100.jpg,f,right,4,07F_HA_C100.jpg
18,happiness,06F_HA_C100.jpg,0,100,02F_HA_C100.jpg,f,left,4,03F_FE_C100.jpg
19,happiness,01F_HA_C100.jpg,0,100,03F_HA_C100.jpg,f,left,4,06F_FE_C100.jpg
20,happiness,05F_HA_C100.jpg,0,100,07F_FE_C100.jpg,f,right,5,06F_HA_C100.jpg
21,happiness,07F_HA_C100.jpg,0,100,05F_FE_C100.jpg,f,right,5,08F_HA_C100.jpg
22,happiness,08F_HA_C100.jpg,0,100,04F_HA_C100.jpg,f,left,5,02F_FE_C100.jpg
23,happiness,04F_HA_C100.jpg,0,100,08F_FE_C100.jpg,f,right,5,01F_HA_C100.jpg
24,fear,02F_FE_C100.jpg,0,100,01F_HA_C100.jpg,f,right,6,06F_FE_C100.jpg
25,fear,03F_FE_C100.jpg,0,100,05F_FE_C100.jpg,f,left,6,07F_HA_C100.jpg
26,fear,01F_FE_C100.jpg,0,100,08F_FE_C100.jpg,f,left,6,04F_HA_C100.jpg
27,fear,06F_FE_C100.jpg,0,100,03F_FE_C100.jpg,f,left,6,02F_HA_C100.jpg
28,fear,07F_FE_C100.jpg,0,100,08F_HA_C100.jpg,f,right,7,04F_FE_C100.jpg
29,fear,08F_FE_C100.jpg,0,100,05F_HA_C100.jpg,f,right,7,02F_FE_C100.jpg
30,fear,04F_FE_C100.jpg,0,100,01F_FE_C100.jpg,f,left,7,03F_HA_C100.jpg
31,fear,05F_FE_C100.jpg,0,100,06F_HA_C100.jpg,f,right,7,07F_FE_C100.jpg
32,happiness,21M_HA_C100.jpg,0,40,22M_HA_C040.jpg,m,left,8,24M_FE_C040.jpg
33,happiness,27M_HA_C100.jpg,0,40,21M_FE_C040.jpg,m,right,8,24M_HA_C040.jpg
34,happiness,25M_HA_C100.jpg,0,40,22M_FE_C040.jpg,m,right,8,26M_HA_C040.jpg
35,happiness,22M_HA_C100.jpg,0,40,27M_FE_C040.jpg,m,right,8,23M_HA_C040.jpg
36,happiness,28M_HA_C100.jpg,0,40,27M_HA_C040.jpg,m,left,9,23M_FE_C040.jpg
37,happiness,26M_HA_C100.jpg,0,40,25M_HA_C040.jpg,m,left,9,28M_FE_C040.jpg
38,happiness,23M_HA_C100.jpg,0,40,21M_HA_C040.jpg,m,left,9,25M_FE_C040.jpg
39,happiness,24M_HA_C100.jpg,0,40,26M_FE_C040.jpg,m,right,9,28M_HA_C040.jpg
40,fear,26M_FE_C100.jpg,0,40,21M_FE_C040.jpg,m,left,10,25M_HA_C040.jpg
41,fear,22M_FE_C100.jpg,0,40,27M_FE_C040.jpg,m,left,10,24M_HA_C040.jpg
42,fear,23M_FE_C100.jpg,0,40,28M_HA_C040.jpg,m,right,10,22M_FE_C040.jpg
43,fear,21M_FE_C100.jpg,0,40,26M_FE_C040.jpg,m,left,10,22M_HA_C040.jpg
44,fear,28M_FE_C100.jpg,0,40,23M_HA_C040.jpg,m,right,11,25M_FE_C040.jpg
45,fear,24M_FE_C100.jpg,0,40,26M_HA_C040.jpg,m,right,11,23M_FE_C040.jpg
46,fear,25M_FE_C100.jpg,0,40,28M_FE_C040.jpg,m,left,11,27M_HA_C040.jpg
47,fear,27M_FE_C100.jpg,0,40,21M_HA_C040.jpg,m,right,11,24M_FE_C040.jpg
48,happiness,03F_HA_C100.jpg,0,40,06F_HA_C040.jpg,f,left,12,08F_FE_C040.jpg
49,happiness,02F_HA_C100.jpg,0,40,07F_FE_C040.jpg,f,right,12,04F_HA_C040.jpg
50,happiness,06F_HA_C100.jpg,0,40,04F_FE_C040.jpg,f,right,12,07F_HA_C040.jpg
51,happiness,01F_HA_C100.jpg,0,40,05F_FE_C040.jpg,f,right,12,08F_HA_C040.jpg
52,happiness,05F_HA_C100.jpg,0,40,02F_HA_C040.jpg,f,left,13,03F_FE_C040.jpg
53,happiness,07F_HA_C100.jpg,0,40,03F_HA_C040.jpg,f,left,13,01F_FE_C040.jpg
54,happiness,08F_HA_C100.jpg,0,40,01F_HA_C040.jpg,f,left,13,06F_FE_C040.jpg
55,happiness,04F_HA_C100.jpg,0,40,02F_FE_C040.jpg,f,right,13,05F_HA_C040.jpg
56,fear,02F_FE_C100.jpg,0,40,03F_FE_C040.jpg,f,left,14,06F_HA_C040.jpg
57,fear,03F_FE_C100.jpg,0,40,08F_FE_C040.jpg,f,left,14,02F_HA_C040.jpg
58,fear,01F_FE_C100.jpg,0,40,03F_HA_C040.jpg,f,right,14,05F_FE_C040.jpg
59,fear,06F_FE_C100.jpg,0,40,01F_FE_C040.jpg,f,left,14,08F_HA_C040.jpg
60,fear,07F_FE_C100.jpg,0,40,05F_HA_C040.jpg,f,right,15,04F_FE_C040.jpg
61,fear,08F_FE_C100.jpg,0,40,07F_FE_C040.jpg,f,left,15,04F_HA_C040.jpg
62,fear,04F_FE_C100.jpg,0,40,01F_HA_C040.jpg,f,right,15,06F_FE_C040.jpg
63,fear,05F_FE_C100.jpg,0,40,07F_HA_C040.jpg,f,right,15,02F_FE_C040.jpg
64,happiness,08F_HA_C100_cell6rand_a.jpg,6,100,08F_HA_C100_cell6rand_a.jpg,f,left,16,08F_HA_C100_cell6rand_b.jpg
65,happiness,04F_HA_C100_cell6rand_a.jpg,6,100,04F_HA_C100_cell6rand_b.jpg,f,right,16,04F_HA_C100_cell6rand_a.jpg
66,happiness,07F_HA_C100_cell6rand_a.jpg,6,100,07F_HA_C100_cell6rand_a.jpg,f,left,16,07F_HA_C100_cell6rand_b.jpg
67,happiness,02F_HA_C100_cell6rand_a.jpg,6,100,02F_HA_C100_cell6rand_a.jpg,f,left,16,02F_HA_C100_cell6rand_b.jpg
68,happiness,01F_HA_C100_cell6rand_a.jpg,6,100,01F_HA_C100_cell6rand_b.jpg,f,right,17,01F_HA_C100_cell6rand_a.jpg
69,fear,26M_FE_C100_cell6rand_a.jpg,6,100,26M_FE_C100_cell6rand_b.jpg,m,right,17,26M_FE_C100_cell6rand_a.jpg
70,happiness,23M_HA_C100_cell6rand_a.jpg,6,100,23M_HA_C100_cell6rand_a.jpg,m,left,17,23M_HA_C100_cell6rand_b.jpg
71,fear,03F_FE_C100_cell6rand_a.jpg,6,100,03F_FE_C100_cell6rand_b.jpg,f,right,17,03F_FE_C100_cell6rand_a.jpg
72,fear,21M_FE_C100_cell6rand_a.jpg,6,100,21M_FE_C100_cell6rand_b.jpg,m,right,18,21M_FE_C100_cell6rand_a.jpg
73,happiness,06F_HA_C100_cell6rand_a.jpg,6,100,06F_HA_C100_cell6rand_b.jpg,f,right,18,06F_HA_C100_cell6rand_a.jpg
74,fear,04F_FE_C100_cell6rand_a.jpg,6,100,04F_FE_C100_cell6rand_b.jpg,f,right,18,04F_FE_C100_cell6rand_a.jpg
75,fear,05F_FE_C100_cell6rand_a.jpg,6,100,05F_FE_C100_cell6rand_b.jpg,f,right,18,05F_FE_C100_cell6rand_a.jpg
76,happiness,03F_HA_C100_cell6rand_a.jpg,6,100,03F_HA_C100_cell6rand_a.jpg,f,left,19,03F_HA_C100_cell6rand_b.jpg
77,fear,23M_FE_C100_cell6rand_a.jpg,6,100,23M_FE_C100_cell6rand_b.jpg,m,right,19,23M_FE_C100_cell6rand_a.jpg
78,happiness,25M_HA_C100_cell6rand_a.jpg,6,100,25M_HA_C100_cell6rand_a.jpg,m,left,19,25M_HA_C100_cell6rand_b.jpg
79,happiness,26M_HA_C100_cell6rand_a.jpg,6,100,26M_HA_C100_cell6rand_a.jpg,m,left,19,26M_HA_C100_cell6rand_b.jpg
80,fear,08F_FE_C100_cell6rand_a.jpg,6,100,08F_FE_C100_cell6rand_b.jpg,f,right,20,08F_FE_C100_cell6rand_a.jpg
81,fear,06F_FE_C100_cell6rand_a.jpg,6,100,06F_FE_C100_cell6rand_a.jpg,f,left,20,06F_FE_C100_cell6rand_b.jpg
